n, max, min, es_ex, es_var, teo_ex, teo_var, teo_ex + cheb, teo_ex - cheb
610, 4, 0, 0.935, 0.8907749999999978, 1, 1, 1.8350043892860413, 0.16499561071395874
620, 5, 0, 1.015, 1.0547750000000002, 1, 1, 1.8350043892860413, 0.16499561071395874
630, 5, 0, 1.045, 1.0329750000000018, 1, 1, 1.8350043892860413, 0.16499561071395874
640, 4, 0, 0.98, 0.9096000000000005, 1, 1, 1.8350043892860413, 0.16499561071395874
650, 4, 0, 0.92, 1.0336000000000007, 1, 1, 1.8350043892860413, 0.16499561071395874
660, 6, 0, 1.24, 1.3223999999999991, 1, 1, 1.8350043892860413, 0.16499561071395874
670, 4, 0, 0.87, 0.7831000000000014, 1, 1, 1.8350043892860413, 0.16499561071395874
680, 3, 0, 0.93, 0.7651000000000007, 1, 1, 1.8350043892860413, 0.16499561071395874
690, 5, 0, 1.09, 0.9819000000000025, 1, 1, 1.8350043892860413, 0.16499561071395874
700, 4, 0, 0.965, 0.7337750000000008, 1, 1, 1.8350043892860413, 0.16499561071395874
710, 4, 0, 1.03, 0.8991000000000006, 1, 1, 1.8350043892860413, 0.16499561071395874
720, 4, 0, 0.985, 0.8247750000000004, 1, 1, 1.8350043892860413, 0.16499561071395874
730, 5, 0, 0.95, 0.8675000000000002, 1, 1, 1.8350043892860413, 0.16499561071395874
740, 4, 0, 1.01, 0.9499000000000016, 1, 1, 1.8350043892860413, 0.16499561071395874
750, 4, 0, 1.04, 0.8983999999999999, 1, 1, 1.8350043892860413, 0.16499561071395874
760, 5, 0, 1.08, 1.0536000000000023, 1, 1, 1.8350043892860413, 0.16499561071395874
770, 4, 0, 1.02, 0.9296000000000013, 1, 1, 1.8350043892860413, 0.16499561071395874
780, 4, 0, 0.98, 1.079600000000002, 1, 1, 1.8350043892860413, 0.16499561071395874
790, 5, 0, 1.09, 1.2019000000000017, 1, 1, 1.8350043892860413, 0.16499561071395874
800, 5, 0, 1.005, 1.044975000000001, 1, 1, 1.8350043892860413, 0.16499561071395874
810, 5, 0, 1.02, 1.2096000000000033, 1, 1, 1.8350043892860413, 0.16499561071395874
820, 4, 0, 0.87, 0.8931000000000018, 1, 1, 1.8350043892860413, 0.16499561071395874
830, 4, 0, 1.05, 1.1674999999999995, 1, 1, 1.8350043892860413, 0.16499561071395874
840, 4, 0, 0.875, 0.829375, 1, 1, 1.8350043892860413, 0.16499561071395874
850, 4, 0, 0.935, 0.9007749999999994, 1, 1, 1.8350043892860413, 0.16499561071395874
860, 6, 0, 1.11, 1.0879000000000023, 1, 1, 1.8350043892860413, 0.16499561071395874
870, 5, 0, 0.975, 0.964375000000002, 1, 1, 1.8350043892860413, 0.16499561071395874
880, 4, 0, 1.02, 1.1196000000000021, 1, 1, 1.8350043892860413, 0.16499561071395874
890, 4, 0, 1.055, 0.9319749999999987, 1, 1, 1.8350043892860413, 0.16499561071395874
900, 4, 0, 0.96, 0.8584000000000002, 1, 1, 1.8350043892860413, 0.16499561071395874
910, 5, 0, 1.03, 1.1391000000000011, 1, 1, 1.8350043892860413, 0.16499561071395874
920, 4, 0, 0.915, 0.8577750000000005, 1, 1, 1.8350043892860413, 0.16499561071395874
930, 4, 0, 0.94, 0.966400000000002, 1, 1, 1.8350043892860413, 0.16499561071395874
940, 5, 0, 1.01, 0.9999000000000021, 1, 1, 1.8350043892860413, 0.16499561071395874
950, 4, 0, 1.03, 0.9991000000000008, 1, 1, 1.8350043892860413, 0.16499561071395874
960, 4, 0, 1.01, 0.8799000000000019, 1, 1, 1.8350043892860413, 0.16499561071395874
970, 5, 0, 1.11, 0.8879000000000022, 1, 1, 1.8350043892860413, 0.16499561071395874
980, 6, 0, 1.0, 1.03, 1, 1, 1.8350043892860413, 0.16499561071395874
990, 4, 0, 0.925, 0.8993750000000008, 1, 1, 1.8350043892860413, 0.16499561071395874
