n, max, min, es_ex, es_var, teo_ex, teo_var, teo_ex + cheb, teo_ex - cheb
280, 14, 1, 6.12, 4.275600000000007, 6.213789919432683, 4.57242091119717, 7.048794308718724, 5.378785530146642
290, 13, 2, 6.475, 4.829374999999995, 6.248819734930396, 4.60732800547472, 7.083824124216437, 5.4138153456443545
300, 13, 1, 5.805, 4.216974999999994, 6.282663880299502, 4.641057597401918, 7.117668269585543, 5.447659491013461
310, 13, 2, 6.275, 5.099374999999999, 6.315399998455159, 4.673686540739496, 7.1504043877412, 5.4803956091691175
320, 13, 1, 6.275, 5.069374999999999, 6.347098346894013, 4.705284402319613, 7.182102736180054, 5.512093957607972
330, 13, 1, 6.47, 5.629099999999998, 6.377822705649871, 4.735914355101528, 7.212827094935912, 5.54281831636383
340, 14, 2, 6.405, 3.8009749999999953, 6.407631149871068, 4.765633938474409, 7.242635539157109, 5.572626760585027
350, 13, 1, 6.32, 4.467599999999994, 6.436576710542007, 4.79449570880557, 7.271581099828048, 5.601572321255966
360, 15, 2, 6.715, 5.883775000000002, 6.464707942236957, 4.822547798714062, 7.299712331522998, 5.629703552950915
370, 12, 2, 6.32, 5.237599999999992, 6.492069413174771, 4.849834400018686, 7.327073802460812, 5.6570650238887294
380, 12, 1, 6.355, 4.668975, 6.518702129995399, 4.876396182528062, 7.35370651928144, 5.683697740709357
390, 12, 1, 6.49, 4.6099, 6.54464390742247, 4.9022706586370575, 7.3796482967085115, 5.709639518136429
400, 12, 2, 6.495, 4.719975000000009, 6.5699296911765055, 4.927492501932463, 7.404934080462547, 5.734925301890464
410, 13, 1, 6.59, 5.091899999999998, 6.594591841058637, 4.952093826598919, 7.4295962303446785, 5.759587451772596
420, 17, 2, 6.6, 4.999999999999996, 6.618660379958502, 4.9761044332737185, 7.4536647692445435, 5.783655990672461
430, 12, 2, 6.665, 5.262775, 6.642163213592988, 4.999552026072003, 7.477167602879029, 5.8071588243069465
440, 14, 2, 6.62, 5.0656000000000105, 6.665126325009651, 5.022462404746136, 7.500130714295692, 5.83012193572361
450, 13, 1, 6.545, 5.427974999999996, 6.6875739472545765, 5.0448596353218065, 7.522578336540618, 5.852569557968535
460, 13, 1, 6.83, 4.941100000000003, 6.709528717081769, 5.066766202040398, 7.54453310636781, 5.8745243277957275
470, 13, 1, 6.495, 4.329974999999999, 6.731011812148432, 5.088203143012414, 7.566016201434473, 5.89600742286239
480, 15, 1, 6.37, 4.87309999999999, 6.752043073780474, 5.109190171633799, 7.587047463066515, 5.9170386844944325
490, 13, 2, 6.485, 4.719774999999999, 6.772641117092005, 5.129745785521358, 7.607645506378046, 5.937636727805963
500, 13, 2, 7.055, 4.741974999999997, 6.79282342999052, 5.149887364475688, 7.627827819276561, 5.957819040704479
510, 12, 2, 6.825, 5.5943750000000065, 6.8126064623872935, 5.169631258771709, 7.647610851673335, 5.977602073101252
520, 14, 2, 6.755, 5.614974999999995, 6.832005706753252, 5.188992868901039, 7.667010096039293, 5.997001317467211
530, 16, 2, 6.94, 6.776399999999996, 6.85103577100874, 5.207986717739992, 7.686040160294781, 6.016031381722699
540, 16, 2, 6.945, 5.961974999999999, 6.869710444606268, 5.226626515990752, 7.704714833892309, 6.0347060553202265
550, 13, 2, 6.895, 3.9939750000000016, 6.888042758555136, 5.24492522163434, 7.723047147841177, 6.053038369269094
560, 13, 1, 6.76, 4.6723999999999934, 6.906045040042375, 5.262895094041205, 7.741049429328417, 6.071040650756334
570, 15, 2, 6.815, 4.850774999999994, 6.923728962223488, 5.280547743305107, 7.758733351509529, 6.088724572937447
580, 12, 1, 6.815, 4.830774999999994, 6.941105589686623, 5.2978941752978415, 7.776109978972665, 6.106101200400582
590, 14, 2, 7.06, 5.266400000000002, 6.958185420033677, 5.3149448328823325, 7.793189809319718, 6.123181030747635
600, 12, 1, 6.955, 4.942975000000005, 6.974978421969597, 5.331709633670734, 7.809982811255638, 6.139974032683556
610, 15, 1, 7.09, 5.511900000000002, 6.991494070245965, 5.348198004669484, 7.826498459532006, 6.156489680959924
620, 13, 1, 7.005, 4.9749750000000015, 7.007741377765563, 5.36441891411404, 7.842745767051604, 6.172736988479522
630, 15, 3, 7.12, 5.335600000000007, 7.023728925120289, 5.380380900762731, 7.85873331440633, 6.188724535834248
640, 12, 1, 7.315, 5.205775000000006, 7.039464887804781, 5.396092100889192, 7.874469277090823, 6.20446049851874
650, 14, 2, 7.025, 5.684375, 7.054957061321836, 5.411560273186986, 7.889961450607878, 6.219952672035795
660, 15, 2, 7.205, 5.522975000000005, 7.070212884372617, 5.426792821777184, 7.905217273658658, 6.235208495086575
670, 17, 3, 7.46, 5.398399999999997, 7.085239460304336, 5.441796817489859, 7.920243849590377, 6.250235071018294
680, 16, 1, 6.925, 5.719375000000005, 7.1000435769702275, 5.456579017572452, 7.935047966256269, 6.265039187684186
690, 14, 3, 7.48, 6.1695999999999955, 7.1146317251407805, 5.471145883962656, 7.949636114426822, 6.279627335854739
700, 13, 3, 7.05, 4.417500000000005, 7.1290101155912335, 5.485503600249288, 7.964014504877275, 6.294005726305192
710, 16, 2, 7.015, 5.714774999999999, 7.1431846949779265, 5.499658087432863, 7.978189084263968, 6.308180305691885
720, 16, 3, 7.13, 5.093099999999987, 7.1571611606050825, 5.513615018586073, 7.992165549891124, 6.322156771319041
730, 14, 1, 6.73, 5.2171, 7.1709449741737945, 5.527379832505325, 8.005949363459836, 6.335940584887753
740, 14, 2, 7.145, 4.753975000000004, 7.184541374596248, 5.540957746435403, 8.019545763882288, 6.349536985310206
750, 13, 2, 7.15, 5.307499999999996, 7.197955389950435, 5.554353767941706, 8.032959779236476, 6.362951000664394
760, 13, 2, 7.08, 4.6236, 7.211191848643617, 5.567572705997748, 8.046196237929658, 6.376187459357576
770, 13, 2, 7.6, 6.139999999999998, 7.224255389846549, 5.58061918134954, 8.05925977913259, 6.389251000560508
780, 13, 2, 7.25, 5.2675, 7.237150473254928, 5.593497636212199, 8.07215486254097, 6.402146083968887
790, 15, 1, 7.44, 6.036400000000001, 7.249881388229418, 5.606212343350343, 8.08488577751546, 6.4148769989433765
800, 17, 1, 6.94, 6.256399999999998, 7.2624522623611485, 5.618767414588426, 8.097456651647189, 6.427447873075107
810, 14, 2, 6.965, 5.033775000000003, 7.274867069505497, 5.631166808793132, 8.109871458791538, 6.439862680219456
820, 15, 2, 7.29, 5.755900000000001, 7.287129637323247, 5.643414339367382, 8.122134026609288, 6.4521252480372056
830, 13, 1, 7.17, 5.251100000000004, 7.29924365436496, 5.655513681290529, 8.134248043651002, 6.464239265078919
840, 14, 3, 7.725, 5.9393749999999965, 7.311212676731355, 5.66746837773794, 8.146217066017396, 6.4762082874453135
850, 15, 2, 7.22, 5.411599999999998, 7.323040134339779, 5.679281846309564, 8.15804452362582, 6.488035745053738
860, 15, 2, 7.43, 5.945100000000005, 7.3347293368244255, 5.690957384894723, 8.169733726110467, 6.499724947538384
870, 15, 2, 7.48, 5.9495999999999984, 7.346283479095651, 5.702498177198557, 8.181287868381691, 6.51127908980961
880, 12, 2, 7.37, 5.103099999999991, 7.357705646581792, 5.713907297953256, 8.192710035867833, 6.522701257295751
890, 14, 1, 7.245, 5.324974999999996, 7.368998820174971, 5.725187717835297, 8.204003209461012, 6.53399443088893
900, 14, 1, 7.405, 5.640975000000003, 7.380165880900755, 5.736342308108277, 8.215170270186796, 6.545161491614714
910, 14, 1, 7.225, 5.714374999999995, 7.391209614329924, 5.747373845009932, 8.226214003615965, 6.5562052250438825
920, 16, 1, 7.78, 6.571599999999992, 7.402132714749296, 5.758285013899567, 8.237137104035337, 6.567128325463255
930, 20, 2, 7.61, 5.8479000000000045, 7.412937789107199, 5.769078413181809, 8.24794217839324, 6.577933399821157
940, 15, 2, 7.255, 6.289974999999993, 7.423627360748061, 5.779756558020779, 8.258631750034102, 6.58862297146202
950, 14, 2, 7.32, 6.327599999999998, 7.434203872949501, 5.790321883857963, 8.269208262235543, 6.59919948366346
960, 15, 3, 7.34, 5.514399999999999, 7.444669692274306, 5.800776749746362, 8.279674081560348, 6.609665302988264
970, 14, 2, 7.765, 6.039774999999995, 7.455027111748813, 5.81112344151213, 8.290031501034854, 6.620022722462772
980, 16, 2, 7.165, 6.147775000000003, 7.465278353878389, 5.821364174754095, 8.30028274316443, 6.630273964592348
990, 14, 3, 7.535, 5.408774999999997, 7.475425573509889, 5.8315010976915005, 8.31042996279593, 6.640421184223848
